Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr
swift	large	4	C	SE51	C4	28	Kangaroo	CC	22	10	2020	11	8	31	Adult	Unknown	SYER7774	28_CC_22_10_11
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	8	46	Adult	Unknown	SYER7777	28_FR_22_10_11
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	9	27	Adult	Unknown	SYER7783	28_FR_22_10_11
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	9	40	Adult	Unknown	SYER7787	28_FR_22_10_11
swift	large	4	R	SE57	R1	28	Kangaroo	FR	22	10	2020	11	9	40	Adult	Unknown	SYER6449	28_FR_22_10_11
swift	large	4	R	SE57	R1	28	Kangaroo	FR	22	10	2020	11	10	10	Adult	Unknown	SYER6452	28_FR_22_10_11
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	10	19	Adult	Unknown	SYER7792	28_FR_22_10_11
swift	large	4	C	SE48	C3	28	Kangaroo	FR	22	10	2020	11	11	9	Adult	Unknown	SYER2883	28_FR_22_10_11
swift	large	4	C	SE48	C3	28	Kangaroo	FR	22	10	2020	11	11	32	Adult	Unknown	SYER2886	28_FR_22_10_11
swift	large	4	R	SE57	R1	28	Kangaroo	FR	22	10	2020	11	11	32	Adult	Unknown	SYER6455	28_FR_22_10_11
swift	large	4	C	SE51	C4	28	Kangaroo	SS	22	10	2020	11	8	57	Adult	Unknown	SYER7780	28_SS_22_10_11
swift	large	4	C	SE48	C3	28	Kangaroo	SS	22	10	2020	11	10	26	Adult	Unknown	SYER2877	28_SS_22_10_11
swift	large	4	C	SE51	C4	29	Kangaroo	FR	22	10	2020	11	7	48	Adult	Unknown	SYER7765	29_FR_22_10_11
swift	large	4	C	SE48	C3	29	Kangaroo	FR	22	10	2020	11	10	51	Adult	Unknown	SYER2880	29_FR_22_10_11
swift	large	4	C	SE51	C4	30	Amphibian	SS	13	10	2020	18	53	28	Unknown	Unknown	SYER0502	30_SS_13_10_18
swift	large	4	C	SE51	C4	30	Amphibian	SS	13	10	2020	19	37	1	Unknown	Unknown	SYER0505	30_SS_13_10_19
swift	large	4	C	SE51	C4	30	Amphibian	SS	13	10	2020	19	53	54	Unknown	Unknown	SYER0508	30_SS_13_10_19
swift	large	4	C	SE51	C4	31	Amphibian	SS	13	10	2020	19	37	1	Unknown	Unknown	SYER0505	31_SS_13_10_19
