Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Kangaroo	Whiptail	Macropod	Monitor	Cow	Fox	Possum	Hare	Rabbit	Dog	Deer	Amphibian	Snake	Dragon	Rodent	Quail	Cat	Unknown	All_animals						
swift	large	26	R	S15	R2	0	0	0	0	0	1	0	15	5	0	0	0	0	0	0	0	0	0	21						
swift	small	27	C	S09	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1						
swift	small	27	C	S07	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	27	C	S04	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
swift	small	27	C	S12	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	27	R	S06	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
swift	small	27	R	S01	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	28	C	UQ26	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	28	C	UQ11	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	28	C	UQ33	C3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	6						
reconyx	small	28	C	UQ28	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3						
reconyx	small	28	R	HP07	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
reconyx	small	28	R	RH1	R2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	6						
swift	large	29	C	S17	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	29	C	S11	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	29	C	S03	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	29	C	S02	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	29	R	S10	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	29	R	S13	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	30	C	RH6	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3						
reconyx	large	30	C	UQ59	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
reconyx	large	30	C	UQ35	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	30	C	UQ24	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3						
reconyx	large	30	R	HP07	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	30	R	UQ126	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
