Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num
swift	large	4	R	SE57	R1	25	Kangaroo	SS	22	10	2020	11	7	7	Adult	Unknown	SYER6440
swift	large	4	C	SE51	C4	25	Kangaroo	RX	22	10	2020	11	7	17	Adult	Unknown	SYER7762
swift	large	4	C	SE51	C4	25	Kangaroo	RX	22	10	2020	11	7	48	Adult	Unknown	SYER7765
swift	large	4	C	SE48	C3	25	Kangaroo	RX	22	10	2020	11	7	55	Adult	Unknown	SYER2859
swift	large	4	C	SE51	C4	25	Kangaroo	SS	22	10	2020	11	8	2	Adult	Unknown	SYER7768
swift	large	4	C	SE48	C3	25	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862
swift	large	4	C	SE51	C4	25	Kangaroo	FR	22	10	2020	11	8	13	Adult	Unknown	SYER7771
swift	large	4	C	SE48	C3	25	Kangaroo	SS	22	10	2020	11	8	24	Adult	Unknown	SYER2865
swift	large	4	C	SE48	C3	25	Kangaroo	FR	22	10	2020	11	8	36	Adult	Unknown	SYER2868
swift	large	4	C	SE51	C4	25	Kangaroo	CC	22	10	2020	11	8	46	Adult	Unknown	SYER7777
swift	large	4	C	SE57	R1	25	Kangaroo	FR	22	10	2020	11	8	51	Adult	Unknown	SYER6443
swift	large	4	C	SE57	R1	25	Kangaroo	FR	22	10	2020	11	9	11	Adult	Unknown	SYER6446
swift	large	4	C	SE48	C3	25	Kangaroo	FR	22	10	2020	11	9	59	Adult	Unknown	SYER2875
swift	large	4	C	SE48	C3	26	Kangaroo	RX	22	10	2020	11	7	55	Adult	Unknown	SYER2859
swift	large	4	C	SE48	C3	26	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862
swift	large	4	C	SE48	C3	26	Kangaroo	FR	22	10	2020	11	8	24	Adult	Unknown	SYER2865
swift	large	4	C	SE48	C3	26	Kangaroo	FR	22	10	2020	11	8	36	Adult	Unknown	SYER2868
swift	large	4	C	SE48	C3	26	Kangaroo	FR	22	10	2020	11	9	36	Adult	Unknown	SYER2871
swift	large	4	C	SE48	C3	27	Kangaroo	RX	22	10	2020	11	7	58	Adult	Unknown	SYER2861
swift	large	4	C	SE48	C3	27	Kangaroo	SS	22	10	2020	11	8	7	Adult	Unknown	SYER2862
swift	large	4	C	SE48	C3	27	Kangaroo	SS	22	10	2020	11	8	24	Adult	Unknown	SYER2865
swift	large	4	C	SE51	C4	28	Kangaroo	CC	22	10	2020	11	8	31	Adult	Unknown	SYER7774
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	8	46	Adult	Unknown	SYER7777
swift	large	4	C	SE51	C4	28	Kangaroo	SS	22	10	2020	11	8	57	Adult	Unknown	SYER7780
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	9	27	Adult	Unknown	SYER7783
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	9	40	Adult	Unknown	SYER7787
swift	large	4	R	SE57	R1	28	Kangaroo	FR	22	10	2020	11	9	40	Adult	Unknown	SYER6449
swift	large	4	R	SE57	R1	28	Kangaroo	FR	22	10	2020	11	10	10	Adult	Unknown	SYER6452
swift	large	4	C	SE51	C4	28	Kangaroo	FR	22	10	2020	11	10	19	Adult	Unknown	SYER7792
swift	large	4	C	SE48	C3	28	Kangaroo	SS	22	10	2020	11	10	26	Adult	Unknown	SYER2877
swift	large	4	C	SE48	C3	28	Kangaroo	FR	22	10	2020	11	11	9	Adult	Unknown	SYER2883
swift	large	4	C	SE48	C3	28	Kangaroo	FR	22	10	2020	11	11	32	Adult	Unknown	SYER2886
swift	large	4	R	SE57	R1	28	Kangaroo	FR	22	10	2020	11	11	32	Adult	Unknown	SYER6455
swift	large	4	C	SE51	C4	29	Kangaroo	FR	22	10	2020	11	7	48	Adult	Unknown	SYER7765
swift	large	4	C	SE48	C3	29	Kangaroo	FR	22	10	2020	11	10	51	Adult	Unknown	SYER2880
swift	large	4	C	SE51	C4	30	Amphibian	SS	13	10	2020	18	53	28	Unknown	Unknown	SYER0502
